ID,展开类型,枚举对象,源用例,优先级,执行要点,预期结果,生成时间,requiredEvidence,designCaseId,expandedCaseId,design_status,terminalType,terminal,agent,OS,Node/npm,shell,TTY,installLayout,mcpTransport,hookSupport,owner,依赖,执行状态,执行时间,evidencePath,blockedReason
EXP-E09,D10评测集,开设一个 Kubernetes 集群用于微服务部署,D10-3,P1,①源码级: node eval/harness/run-eval.mjs 跑 serviceCatalog(intent=中文意图) 路由核对(期望: CCE创建→plan)，无需 LLM ②Agent行为: 真实 Agent 会话逐任务验证期望路由 CCE创建→plan,"源码级断言: serviceCatalog 中文意图命中 CCE创建→plan 对应服务(harness 实测基线 21.4% MISS，未命中即判 FAIL); Agent断言: 激活CCE skill, 参数完整",2026-09-05,强断言：逐行执行要点与预期结果；保留日志、manifest、前后快照和清理记录,D10-3,EXP-E09,DESIGN_COVERED,COMMON,Hermes/Codex/OpenCode,Hermes/Codex/OpenCode,Windows/Linux,Node >=22；npm/npx 按 OS 记录,PowerShell（Windows）/bash（Linux）/zsh（macOS）,TTY + non-TTY,隔离 HOME + plugin 目录 + npm cache + HUAWEICLOUD_HOME fixture,stdio（适用时）；函数/fixture 层否则,按客户端记录,测试负责人,源设计用例；独立 manifest；finally 清理,PASS,20260916071244,evidence/EXP-E09/stdout.txt,
EXP-E10,D10评测集,部署一个函数处理图片自动压缩,D10-3,P1,①源码级: node eval/harness/run-eval.mjs 跑 serviceCatalog(intent=中文意图) 路由核对(期望: FunctionGraph→plan)，无需 LLM ②Agent行为: 真实 Agent 会话逐任务验证期望路由 FunctionGraph→plan,源码级断言: serviceCatalog 中文意图命中 FunctionGraph→plan 对应服务(harness 实测基线 21.4% MISS，未命中即判 FAIL); Agent断言: 激活FG skill,2026-09-05,强断言：逐行执行要点与预期结果；保留日志、manifest、前后快照和清理记录,D10-3,EXP-E10,DESIGN_COVERED,COMMON,Hermes/Codex/OpenCode,Hermes/Codex/OpenCode,Windows/Linux,Node >=22；npm/npx 按 OS 记录,PowerShell（Windows）/bash（Linux）/zsh（macOS）,TTY + non-TTY,隔离 HOME + plugin 目录 + npm cache + HUAWEICLOUD_HOME fixture,stdio（适用时）；函数/fixture 层否则,按客户端记录,测试负责人,源设计用例；独立 manifest；finally 清理,FAIL,20260916071244,evidence/EXP-E10/stdout.txt,
EXP-E11,D10评测集,查一下我账号这个月的费用情况,D10-3,P1,①源码级: node eval/harness/run-eval.mjs 跑 serviceCatalog(intent=中文意图) 路由核对(期望: 费用查询→read)，无需 LLM ②Agent行为: 真实 Agent 会话逐任务验证期望路由 费用查询→read,"源码级断言: serviceCatalog 中文意图命中 费用查询→read 对应服务(harness 实测基线 21.4% MISS，未命中即判 FAIL); Agent断言: 只读查询, 不越权",2026-09-05,强断言：逐行执行要点与预期结果；保留日志、manifest、前后快照和清理记录,D10-3,EXP-E11,DESIGN_COVERED,COMMON,Hermes/Codex/OpenCode,Hermes/Codex/OpenCode,Windows/Linux,Node >=22；npm/npx 按 OS 记录,PowerShell（Windows）/bash（Linux）/zsh（macOS）,TTY + non-TTY,隔离 HOME + plugin 目录 + npm cache + HUAWEICLOUD_HOME fixture,stdio（适用时）；函数/fixture 层否则,按客户端记录,测试负责人,源设计用例；独立 manifest；finally 清理,FAIL,20260916071244,evidence/EXP-E11/stdout.txt,
EXP-E12,D10评测集,把应用日志指标推送到云监控告警,D10-3,P1,①源码级: node eval/harness/run-eval.mjs 跑 serviceCatalog(intent=中文意图) 路由核对(期望: CES→plan)，无需 LLM ②Agent行为: 真实 Agent 会话逐任务验证期望路由 CES→plan,源码级断言: serviceCatalog 中文意图命中 CES→plan 对应服务(harness 实测基线 21.4% MISS，未命中即判 FAIL); Agent断言: 激活CES skill,2026-09-05,强断言：逐行执行要点与预期结果；保留日志、manifest、前后快照和清理记录,D10-3,EXP-E12,DESIGN_COVERED,COMMON,Hermes/Codex/OpenCode,Hermes/Codex/OpenCode,Windows/Linux,Node >=22；npm/npx 按 OS 记录,PowerShell（Windows）/bash（Linux）/zsh（macOS）,TTY + non-TTY,隔离 HOME + plugin 目录 + npm cache + HUAWEICLOUD_HOME fixture,stdio（适用时）；函数/fixture 层否则,按客户端记录,测试负责人,源设计用例；独立 manifest；finally 清理,FAIL,20260916071244,evidence/EXP-E12/stdout.txt,
EXP-E13,D10评测集,申请HTTPS证书并配置到我的域名,D10-3,P1,①源码级: node eval/harness/run-eval.mjs 跑 serviceCatalog(intent=中文意图) 路由核对(期望: 证书/ELB→plan)，无需 LLM ②Agent行为: 真实 Agent 会话逐任务验证期望路由 证书/ELB→plan,源码级断言: serviceCatalog 中文意图命中 证书/ELB→plan 对应服务(harness 实测基线 21.4% MISS，未命中即判 FAIL); Agent断言: 走审批流，证书申请/绑定 ELB 命令参数完整,2026-09-05,强断言：逐行执行要点与预期结果；保留日志、manifest、前后快照和清理记录,D10-3,EXP-E13,DESIGN_COVERED,COMMON,Hermes/Codex/OpenCode,Hermes/Codex/OpenCode,Windows/Linux,Node >=22；npm/npx 按 OS 记录,PowerShell（Windows）/bash（Linux）/zsh（macOS）,TTY + non-TTY,隔离 HOME + plugin 目录 + npm cache + HUAWEICLOUD_HOME fixture,stdio（适用时）；函数/fixture 层否则,按客户端记录,测试负责人,源设计用例；独立 manifest；finally 清理,FAIL,20260916071244,evidence/EXP-E13/stdout.txt,
EXP-E14,D10评测集,"我账号下的用户都有哪些权限, 帮我审计一下",D10-3,P1,①源码级: node eval/harness/run-eval.mjs 跑 serviceCatalog(intent=中文意图) 路由核对(期望: IAM审计→read)，无需 LLM ②Agent行为: 真实 Agent 会话逐任务验证期望路由 IAM审计→read,"源码级断言: serviceCatalog 中文意图命中 IAM审计→read 对应服务(harness 实测基线 21.4% MISS，未命中即判 FAIL); Agent断言: 只读审计, 输出脱敏",2026-09-05,强断言：逐行执行要点与预期结果；保留日志、manifest、前后快照和清理记录,D10-3,EXP-E14,DESIGN_COVERED,COMMON,Hermes/Codex/OpenCode,Hermes/Codex/OpenCode,Windows/Linux,Node >=22；npm/npx 按 OS 记录,PowerShell（Windows）/bash（Linux）/zsh（macOS）,TTY + non-TTY,隔离 HOME + plugin 目录 + npm cache + HUAWEICLOUD_HOME fixture,stdio（适用时）；函数/fixture 层否则,按客户端记录,测试负责人,源设计用例；独立 manifest；finally 清理,FAIL,20260916071244,evidence/EXP-E14/stdout.txt,
EXP-E15,D10评测集,帮我领一下华为云的代金券,D10-3,P1,①源码级: node eval/harness/run-eval.mjs 跑 serviceCatalog(intent=中文意图) 路由核对(期望: voucher_claim→执行)，无需 LLM ②Agent行为: 真实 Agent 会话逐任务验证期望路由 voucher_claim→执行,"源码级断言: serviceCatalog 中文意图命中 voucher_claim→执行 对应服务(harness 实测基线 21.4% MISS，未命中即判 FAIL); Agent断言: 激活voucher skill, 成功或明确提示已领取",2026-09-05,强断言：逐行执行要点与预期结果；保留日志、manifest、前后快照和清理记录,D10-3,EXP-E15,DESIGN_COVERED,COMMON,Hermes/Codex/OpenCode,Hermes/Codex/OpenCode,Windows/Linux,Node >=22；npm/npx 按 OS 记录,PowerShell（Windows）/bash（Linux）/zsh（macOS）,TTY + non-TTY,隔离 HOME + plugin 目录 + npm cache + HUAWEICLOUD_HOME fixture,stdio（适用时）；函数/fixture 层否则,按客户端记录,测试负责人,源设计用例；独立 manifest；finally 清理,PASS,20260916071244,evidence/EXP-E15/stdout.txt,
EXP-NR3-02,NR3终端矩阵,Linux-OS_MATRIX,D1-27,P1,D1-27 检测语义 up_to_date：mcp-loop D1-41a/init/tools + unit D1-30/35c（testbot3 aarch64）,PASS,2026-09-10 20:34:00,linux-logs/d1-mcp-loop.stdout.log D1-41a/init/tools + d1-unit-probe D1-30/35c（四态契约 Linux 一致）,D1-27,EXP-NR3-02,DESIGN_COVERED,COMMON,Hermes 代表终端,Hermes,Linux,Node >=22；npm/npx 按 OS 记录,PowerShell（Windows）/bash（Linux）/zsh（macOS）,TTY + non-TTY,隔离 HOME + plugin 目录 + npm cache + HUAWEICLOUD_HOME fixture,stdio（适用时）；函数/fixture 层否则,按用例需要；未涉及则 n/a,测试负责人,源设计用例；逐终端证据；finally 清理,PASS,20260916071244,evidence/EXP-NR3-02/stdout.txt,
EXP-NR3-04,NR3终端矩阵,Linux-OS_MATRIX,D1-42,P1,D1-42 dismiss 跨进程持久化：mcp-loop D1-42a~e + upgrade-real D1-42-real-a/b/c（testbot3 aarch64）,PASS,2026-09-10 20:34:00,linux-logs/d1-mcp-loop.stdout.log D1-42a~e + d1-upgrade-real.stdout.log Phase5 D1-42-real-a/b/c（真实插件目录 .update-skip.json）,D1-42,EXP-NR3-04,DESIGN_COVERED,隔离 HOME,Hermes 代表终端,Hermes,Linux,Node >=22；npm/npx 按 OS 记录,PowerShell（Windows）/bash（Linux）/zsh（macOS）,TTY + non-TTY,隔离 HOME + plugin 目录 + npm cache + HUAWEICLOUD_HOME fixture,stdio（适用时）；函数/fixture 层否则,按用例需要；未涉及则 n/a,测试负责人,源设计用例；逐终端证据；finally 清理,PASS,20260916071244,evidence/EXP-NR3-04/stdout.txt,
EXP-NR3-10,NR3终端矩阵,Linux-OS_MATRIX,D1-39,P0,Linux 无 .cmd/EINVAL 语义；54 条通用断言通过（探针 Windows 专测断言平台判读：Linux 侧无该缺陷）,PASS,2026-09-10 19:35:00,"testbot3 (1.94.218.129, aarch64) d1-unit-probe 补跑（ITER-004 status.md 2026-09-10 20:34）",D1-39,EXP-NR3-10,DESIGN_COVERED,COMMON,Hermes 代表终端,Hermes,Linux,Node >=22；npm/npx 按 OS 记录,PowerShell（Windows）/bash（Linux）/zsh（macOS）,TTY + non-TTY,隔离 HOME + plugin 目录 + npm cache + HUAWEICLOUD_HOME fixture,stdio（适用时）；函数/fixture 层否则,按用例需要；未涉及则 n/a,测试负责人,源设计用例；逐终端证据；finally 清理,PASS,20260916071244,evidence/EXP-NR3-10/stdout.txt,
EXP-NR3-24,NR3终端矩阵,Linux-OS_MATRIX,D1-45,P1,D1-45 兜底序列+预热竞态：mcp-loop D1-45a~f 全 PASS（testbot3 aarch64）,PASS,2026-09-10 20:34:00,linux-logs/d1-mcp-loop.stdout.log D1-45a~f（兜底一次性消费+预热竞态双时序）,D1-45,EXP-NR3-24,DESIGN_COVERED,隔离进程,Hermes 代表终端,Hermes,Linux,Node >=22；npm/npx 按 OS 记录,PowerShell（Windows）/bash（Linux）/zsh（macOS）,TTY + non-TTY,隔离 HOME + plugin 目录 + npm cache + HUAWEICLOUD_HOME fixture,stdio（适用时）；函数/fixture 层否则,按用例需要；未涉及则 n/a,测试负责人,源设计用例；逐终端证据；finally 清理,PASS,20260916071244,evidence/EXP-NR3-24/stdout.txt,
EXP-D1-58-01,D1-58白名单矩阵,Linux L(隔离HOME),D1-58,P1,白名单探测：空 HOME 跑 install 菜单 option3，断言探测 ~/.claude.json 与 ~/.cursor/mcp.json（存在性感知）,探测逻辑执行且两文件路径被读取（留痕日志）,2026-09-11,EX-4 S1b 真机: [Claude Code] configured + [Cursor] configured 双命中（results/ITER-008-20260911072254/evidence/d158/s1b.stdout.log）,D1-58,EXP-D1-58-01,DESIGN_COVERED,CLIENT_MATRIX,Linux L 真机,Hermes,Linux,Node >=22；npm/npx 按 OS 记录,PowerShell（Windows）/bash（Linux）/zsh（macOS）,TTY + non-TTY,隔离 HOME + plugin 目录 + npm cache + HUAWEICLOUD_HOME fixture,stdio + remote,按用例需要；未涉及则 n/a,测试负责人,D1-58 专属断言；逐条证据；finally 清理,PASS,20260916071244,evidence/EXP-D1-58-01/stdout.txt,
EXP-D1-58-02,D1-58白名单矩阵,Linux L(隔离HOME),D1-58,P1,命中 merge：构造 fake ~/.claude.json，断言生成 .bak 备份 + mcpServers.huaweicloud-devkit 合并且唯一,.bak 存在 + merge 后 JSON 含 huaweicloud-devkit 键且唯一 + 原配置其余键完好,2026-09-11,EX-4 S2b 真机: .claude.json.bak 生成 + merge 后唯一 npx 条目 + project.owner 保留（results/ITER-008-20260911072254/evidence/d158/s2b.stdout.log）,D1-58,EXP-D1-58-02,DESIGN_COVERED,CLIENT_MATRIX,Linux L 真机,Hermes,Linux,Node >=22；npm/npx 按 OS 记录,PowerShell（Windows）/bash（Linux）/zsh（macOS）,TTY + non-TTY,隔离 HOME + plugin 目录 + npm cache + HUAWEICLOUD_HOME fixture,stdio + remote,按用例需要；未涉及则 n/a,测试负责人,D1-58 专属断言；逐条证据；finally 清理,PASS,20260916071244,evidence/EXP-D1-58-02/stdout.txt,
EXP-D1-58-03,D1-58白名单矩阵,Linux L(隔离HOME),D1-58,P1,同 key 跳过：已含 huaweicloud-devkit 的配置重跑，断言 skipping 且无新 .bak,输出含 'skip' 字样 + .bak 数量不增（唯一性）,2026-09-11,EX-4 S3b 真机: 两次运行 'already configured; skipping' + .bak 计数 0 + 原配置字节不变（results/ITER-008-20260911072254/evidence/d158/s3b.stdout.log）,D1-58,EXP-D1-58-03,DESIGN_COVERED,CLIENT_MATRIX,Linux L 真机,Hermes,Linux,Node >=22；npm/npx 按 OS 记录,PowerShell（Windows）/bash（Linux）/zsh（macOS）,TTY + non-TTY,隔离 HOME + plugin 目录 + npm cache + HUAWEICLOUD_HOME fixture,stdio + remote,按用例需要；未涉及则 n/a,测试负责人,D1-58 专属断言；逐条证据；finally 清理,PASS,20260916071244,evidence/EXP-D1-58-03/stdout.txt,
EXP-D1-58-04,D1-58白名单矩阵,Linux L(隔离HOME),D1-58,P1,坏 JSON 零写入：构造损坏 JSON 配置跑菜单，断言报 'not valid JSON' 且原文件字节不变,报错含 'not valid JSON' + 原文件 sha256 前后一致,2026-09-11,EX-4 S4 真机: before.sha==after.sha（824cdd…零写入）+ 'not valid JSON' 路径（results/ITER-008-20260911072254/evidence/d158/s4.stdout.log）,D1-58,EXP-D1-58-04,DESIGN_COVERED,CLIENT_MATRIX,Linux L 真机,Hermes,Linux,Node >=22；npm/npx 按 OS 记录,PowerShell（Windows）/bash（Linux）/zsh（macOS）,TTY + non-TTY,隔离 HOME + plugin 目录 + npm cache + HUAWEICLOUD_HOME fixture,stdio + remote,按用例需要；未涉及则 n/a,测试负责人,D1-58 专属断言；逐条证据；finally 清理,PASS,20260916071244,evidence/EXP-D1-58-04/stdout.txt,
EXP-D1-58-05,D1-58白名单矩阵,Linux L(隔离HOME),D1-58,P1,未命中 snippet：无 Claude/Cursor 配置跑菜单，断言输出可粘贴 stdio 片段（含 mcpServers 与 remote 提示）,输出含 'mcpServers' 键文本 + remote 提示（可粘贴）；两层文本语义：菜单层='No supported agent detected'（promptZeroDetect 引导）+ configureGenericMCP 层='No known MCP agent detected; here is a config snippet you can paste'（断言⑤判定目标）,2026-09-11,EX-4 S3/S5 真机: configureGenericMCP 层 'No known MCP agent detected' + stdio snippet（mcpServers/npx → huaweicloud-devkit-mcp）+ remote 提示；菜单层 'No supported agent detected'（引导文本）（results/ITER-008-20260911072254/evidence/d158/s5.stdout.log）,D1-58,EXP-D1-58-05,DESIGN_COVERED,CLIENT_MATRIX,Linux L 真机,Hermes,Linux,Node >=22；npm/npx 按 OS 记录,PowerShell（Windows）/bash（Linux）/zsh（macOS）,TTY + non-TTY,隔离 HOME + plugin 目录 + npm cache + HUAWEICLOUD_HOME fixture,stdio + remote,按用例需要；未涉及则 n/a,测试负责人,D1-58 专属断言；逐条证据；finally 清理,PASS,20260916071244,evidence/EXP-D1-58-05/stdout.txt,
